nombre, edad,raza,foto(url),autor,Link Base
Cookie,14,Chihuahua,https://drive.google.com/uc?export=view&id=10_ezU3Mz4l9SjWp7A_jkEyo_3IuD-Y4Y,Alejandro Zarazúa,
Mops,8,Bulldog Frances,https://drive.google.com/uc?export=view&id=1f2lNxagj07jI9uq5rQEZy6JPMseuJZWr,Alejandro Zarazúa,
Otto,10,Boxer,https://drive.google.com/uc?export=view&id=1Rgw_kAqif33n2Q7KcPfs_fM2fN1pA07m,Alejandro Zarazúa,
Heinz,9,Beagle,https://drive.google.com/uc?export=view&id=1wE1JE_0JOVgyHE-X-7QPu3Zn28d2_VE6,Alejandro Zarazúa,
Chikita,3,Mestizo,https://drive.google.com/uc?export=view&id=17OIEOaMndTQ4hcHqwqxerVTdylYBvgYS,Alejandro Zarazúa,
Pumba,6,Cocker Spaniel,https://drive.google.com/uc?export=view&id=1RMFXUxTS8aDwa7vCma5IPwDl_gHpergk,Alejandro Zarazúa,
Rosco,4,Basset Hound,https://drive.google.com/uc?export=view&id=1E8tAhqODtPN6hiBSaAEB_AFaRj4td_5l,Alejandro Zarazúa,
Hutch,3,San Bernardo,https://drive.google.com/uc?export=view&id=1mb1VhELz7UJ_YSUs7JWa3cSlV91_vv-2,Alejandro Zarazúa,
Portos,17,Mestizo,https://drive.google.com/uc?export=view&id=1hhPiDI7-ZOl6_SVsur4DoaCseZHxy1-j,Alejandro Zarazúa,
Hachi,4,Pomerania,https://drive.google.com/uc?export=view&id=1zrjqh5cFhObgiLrIa_uiW66fed-HhC4x,Alejandro Zarazúa,
San,1.5,American Bully,https://drive.google.com/uc?export=view&id=1CIWQcL_wFpia5g9NJG9lSXwVOf0PwlIU,Bruno Hernández,
Pips,10,Yorkie,https://drive.google.com/uc?export=view&id=1CHIfUVZ6oA7ygmECk55alSYlATn0wvW3,Bruno Hernández,
Oliver,4.5,Daschund Miniatura,https://drive.google.com/uc?export=view&id=1C5n-DUwfW8rOxv7KhUad58WoZDS-2m37,Bruno Hernández,
Apple Pie,0.6,American Bully,https://drive.google.com/uc?export=view&id=1C4Wr_FK2ZGvcZEjw-M2ox39YnujcYMLj,Bruno Hernández,
Copper,1,Pomerania,https://drive.google.com/uc?export=view&id=1C0M2wWGiKe3u0v3Y7GoT5-N4QLjjP92Y,Bruno Hernández,
Peanut Butter,14,Pekinés,https://drive.google.com/uc?export=view&id=1BthFV8kkmP-vyzYRB0O_X-7805F_LFkS,Bruno Hernández,
Jelly,2,Pekinés,https://drive.google.com/uc?export=view&id=1BnCjFhW50WTZbOtz3ydMy9_65bY2OoXu,Bruno Hernández,
Marty,7,Pomerania,https://drive.google.com/uc?export=view&id=1Bd5gNmH9N1tWfhMs3DDSLiY0C__dxyUx,Bruno Hernández,
Laya,6,Yorkie,https://drive.google.com/uc?export=view&id=1BaBhEemLvptwVT9S9Rf1rPINIWW-aMYY,Bruno Hernández,
Fancy,11,Schnauzer Miniatura,https://drive.google.com/uc?export=view&id=1BUR4CBjFxpO9DX7H5Y180V0FNNiKcsMU,Bruno Hernández,
Benji,0.2,Bulldog Frances,https://drive.google.com/uc?export=view&id=1Dg4gE10KB7FJKmeZAkRF9Bi72P-eUhn3,Carlos Díaz,
Masha,3,Doberman,https://drive.google.com/uc?export=view&id=17rhu81pLaExyxO9k7tnZLa_IRKnguS9a,Carlos Díaz,
Doll,3,Doberman,https://drive.google.com/uc?export=view&id=17151U1P9oEIx_ra5lh19COub0s-CcQb5,Carlos Díaz,
Ness,7,Husky,https://drive.google.com/uc?export=view&id=1kl1fC28N1gbbDn-lFCvRSy_HGKdgiqem,Carlos Díaz,
